id	local_status	verification_scope	evidence	live_acceptance_status
PCR-TEST-CONTRACT-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/contracts-2.md"", ""summary"": ""Original contract regressions, real renderer/resolver/consumer tests, typechecks; independent review corrected component-order defect.""}]"	not evaluated in AP01; source for AP04
PCR-EFFECT-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/effects.md"", ""summary"": ""Four original effect lifetime cases, three fail before/pass after; real artifact adapter; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-EXEC-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/recovery.md"", ""summary"": ""Original engine journal prefixes, five regressions, legacy wait IDs, resume and checkpoint gates; independent review and root repeat.""}]"	not evaluated in AP01; source for AP04
PCR-EXEC-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/recovery.md"", ""summary"": ""Real Delivery-Lint producer and artifact adapter consumer; projection replay without producer rerun; independent review and root repeat.""}]"	not evaluated in AP01; source for AP04
PCR-OBS-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/observability-replay.md"", ""summary"": ""Three real-store tests with27 corruption variants, pending replay and closure expiry; original durable stores/reconciliation/typecheck; independent review and root repeat.""}]"	not evaluated in AP01; source for AP04
PCR-STATE-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/state.md"", ""summary"": ""Six state regressions incl real SIGKILL/12 contenders; effect ownership3; phase7/lifecycle/scale/typecheck/lint; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-STATE-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/state.md"", ""summary"": ""Six state regressions incl real SIGKILL/12 contenders; effect ownership3; phase7/lifecycle/scale/typecheck/lint; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-BUSTER-ENGINE-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/buster-engine.md"", ""summary"": ""Real native process/pipe/RPC regressions, kernel process-group acknowledgement, original kubectl gate and independent review; positive isolated-provider path remains environment-blocked.""}]"	not evaluated in AP01; source for AP04
PCR-BUSTER-ENGINE-003	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/buster-engine.md"", ""summary"": ""Real native process/pipe/RPC regressions, kernel process-group acknowledgement, original kubectl gate and independent review; positive isolated-provider path remains environment-blocked.""}]"	not evaluated in AP01; source for AP04
PCR-COMMAND-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/buster-engine.md"", ""summary"": ""Real native process/pipe/RPC regressions, kernel process-group acknowledgement, original kubectl gate and independent review; positive isolated-provider path remains environment-blocked.""}]"	not evaluated in AP01; source for AP04
PCR-ISOLATION-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/isolation.md"", ""summary"": ""Native build and16 real protocol/host/config/page-size tests; independent review. Full delegated-cgroup kernel proof blocked.""}]"	not evaluated in AP01; source for AP04
PCR-ISOLATION-002	verifiziert		"[{""report"": ""implementation/isolation.md"", ""summary"": ""Echte Prozessbaum-/Credential-drop-/Host-SIGKILL-Abnahme durch fehlende proc-children und delegierte Cgroups blockiert.""}, {""report"": ""implementation/pr6-local-acceptance.md"", ""summary"": ""Implementierter TERM-/Cgroup-/Parent-death-Vertrag, echte Session-/Prozessregressionen und gehärteter C-Build; Kernel-Prozessbaumabnahme wird separat nachgeholt.""}]"	not evaluated in AP01; source for AP04
PCR-ISOLATION-003	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/isolation.md"", ""summary"": ""Native build and16 real protocol/host/config/page-size tests; independent review. Full delegated-cgroup kernel proof blocked.""}]"	not evaluated in AP01; source for AP04
PCR-ISOLATION-004	verifiziert		"[{""report"": ""implementation/isolation.md"", ""summary"": ""Reale Cgroup2-Speicher/OOM-Grenze implementiert, konservative Page-Rundung lokal geprüft; Kernelabnahme mangels Delegation blockiert.""}, {""report"": ""implementation/pr6-local-acceptance.md"", ""summary"": ""Reale Cgroup-Limitimplementierung mit konservativer Page-Rundung, exaktem Readback und Fail-closed; lokale Konfigurations-/Page-/Sessiontests vorhanden. Kernel-OOM ist späterer Betriebstest.""}]"	not evaluated in AP01; source for AP04
PCR-KUBERNETES-FIXTURE-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/buster-engine.md"", ""summary"": ""Real native process/pipe/RPC regressions, kernel process-group acknowledgement, original kubectl gate and independent review; positive isolated-provider path remains environment-blocked.""}]"	not evaluated in AP01; source for AP04
PCR-NETWORK-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/process-network.md"", ""summary"": ""Real descendant termination and HTTP streaming/disconnect/timeout tests; both package suites and independent race probes passed; root repeated suites.""}]"	not evaluated in AP01; source for AP04
PCR-NETWORK-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/process-network.md"", ""summary"": ""Real descendant termination and HTTP streaming/disconnect/timeout tests; both package suites and independent race probes passed; root repeated suites.""}]"	not evaluated in AP01; source for AP04
PCR-NOVA-GATE-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/nova-gate-deadlines.md"", ""summary"": ""Authenticated original HTTP/store fault paths and real Git compressor cancellation incl escaped-pipe bounded failure; independent review; atomic filesystem writes drain beyond budget rather than being abandoned.""}]"	not evaluated in AP01; source for AP04
PCR-NOVA-GATE-002	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/nova-gate-deadlines.md"", ""summary"": ""Authenticated original HTTP/store fault paths and real Git compressor cancellation incl escaped-pipe bounded failure; independent review; atomic filesystem writes drain beyond budget rather than being abandoned.""}]"	not evaluated in AP01; source for AP04
PCR-NOVA-GATE-003	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/nova-remote-boundaries.md"", ""summary"": ""Original IPv6/IPv4 loopback and aggregate archive/evidence quota regressions; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-NOVA-GATE-004	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/nova-remote-boundaries.md"", ""summary"": ""Original IPv6/IPv4 loopback and aggregate archive/evidence quota regressions; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-NOVA-GATE-005	verifiziert		"[{""report"": ""implementation/nova-gate-deadlines.md"", ""summary"": ""Öffentlicher Graphreader korrigiert; realer Vollprozess-Restart scheitert an Sandbox vor neuer Assertion; kein bestandener Nachweis.""}, {""report"": ""implementation/pr6-local-acceptance.md"", ""summary"": ""Obsolete Graphdatei durch ursprünglichen öffentlichen Importstore-Reader ersetzt. Originale lokale Import-/Store-/HTTP-Recoveryprüfungen decken den Reader ab; vollständiger Sandboxrestart ist separat.""}]"	not evaluated in AP01; source for AP04
PCR-RUNTIME-001	verifiziert		"[{""report"": ""implementation/runtime-session-cleanup.md"", ""summary"": ""Autorisierte einmalige Cleanupfrist und transitive Sessionbindung; ursprüngliche 25 Fälle plus vier finale Identitätsgegenproben bestanden. Native OpenClaw-Terminierung nicht behauptet.""}, {""report"": ""implementation/wave47-root-review.md"", ""summary"": ""22 echte Core/HTTP-Cleanupregressionen unabhängig bestanden, einschließlich Timeout, Elternabbruch, später Identität und persistierter Ungewissheit.""}]"	not evaluated in AP01; source for AP04
PCR-WORKER-001	verifiziert		"[{""report"": ""implementation/worker-deadline.md"", ""summary"": ""15 real worker/Prism tests independently pass; full phase deadline, final materialization fence, real file/upload cancellation and explicit unresolved drain verified. Native Buster process termination remains separate blocked host gate; no arbitrary JavaScript termination or atomic I/O rollback claim.""}]"	not evaluated in AP01; source for AP04
PATH-T04-001	verifiziert		"[{""report"": ""implementation/approval-source-binding.md"", ""summary"": ""Original engine/Git/artifact/wait path: final17 tests pass. Independent reviewer reproduced and rechecked worktree-source and renewal defects; mode/symlink regressions pass. Root source-boundary review complete. No live model or deployed role E2E claim.""}]"	not evaluated in AP01; source for AP04
PATH-T04-002	verifiziert		"[{""report"": ""implementation/discord-delivery-receipt.md"", ""summary"": ""Remote 7ac8a7fe95066b5dcf3bf9bf53ad1894410bc4e9: tatsächliche Discord-ID+Wire-Payloaddigest und dauerhaft unsichere verlorene Antwort; neun Originalregressionen bestanden. Native Zustellung/Ready-Produzent offen.""}, {""report"": ""implementation/pr6-risk-and-registry.md"", ""summary"": ""D10-Risikoakzeptanz verlangt jetzt eine nichtleere Begründung; blocking bleibt nicht übersteuerbar. Vier echte Core/Git/Artefakt-Gatefolgen, neun Source-Regressionsfälle, Originalpakettests, Compiler und Paketbuild bestanden. Lokaler Abschluss nach D12.""}]"	not evaluated in AP01; source for AP04
PATH-T04-003	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/approval-invalidation.md"", ""summary"": ""Original graph/Git/artifact/operator/wait paths and5 crash prefixes; independent review. Separate startup latency regression subsequently fixed.""}]"	not evaluated in AP01; source for AP04
PCR-APPROVAL-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/approval-invalidation.md"", ""summary"": ""Original graph/Git/artifact/operator/wait paths and5 crash prefixes; independent review. Separate startup latency regression subsequently fixed.""}]"	not evaluated in AP01; source for AP04
PTR-T05-001	verifiziert		"[{""report"": ""implementation/nova-repair-budget.md"", ""summary"": ""Independent review plus12 genuine budget/recovery tests and13 original admin/evidence/Forge tests pass. Exact committed source2f265ae Nova typecheck and12tests independently pass; post-extra-order hard failure explicitly blocked.""}]"	not evaluated in AP01; source for AP04
PATH-T07-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/forge-workspace.md"", ""summary"": ""Eight original Core/Git/HTTP/ESLint cases, seven exact baseline-source failures, extra stale-owner/symlink/deadline probes; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-GIT-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/git-repository.md"", ""summary"": ""Real Git errors, repository symlink/race and collector boundaries; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-IMPLEMENTATION-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/forge-workspace.md"", ""summary"": ""Eight original Core/Git/HTTP/ESLint cases, seven exact baseline-source failures, extra stale-owner/symlink/deadline probes; independent review.""}]"	not evaluated in AP01; source for AP04
PCR-REPOSITORY-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/git-repository.md"", ""summary"": ""Real Git errors, repository symlink/race and collector boundaries; independent review.""}]"	not evaluated in AP01; source for AP04
T06-F01	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/forge-workspace.md"", ""summary"": ""Eight original Core/Git/HTTP/ESLint cases, seven exact baseline-source failures, extra stale-owner/symlink/deadline probes; independent review.""}]"	not evaluated in AP01; source for AP04
PATH-T11-001	verifiziert		"[{""report"": ""implementation/junit-executed-required.md"", ""summary"": ""Actual Node JUnit output, original parser/finalizer and localhost HTTP Nova import/FileStore verified independently; no review override or invented failed case for missing execution. Full native provider/adapter/runner path blocked by actual EPIPE/exit70 host prerequisite failure.""}, {""report"": ""implementation/pr6-local-acceptance.md"", ""summary"": ""Originaler Parser/Finalizer und Nova-Importer lehnen nicht ausgeführte Pflichtfälle ab; echte Node-JUnitdateien, HTTP und wiedereröffneter Store geprüft.""}]"	not evaluated in AP01; source for AP04
PATH-T11-002	verifiziert		"[{""report"": ""implementation/gate-coverage.md"", ""summary"": ""44-Dateien-Änderung unabhängig geprüft: vorab deklarierte vollständige Abdeckung, echte Git/HTTP/Store/Node-Gegenproben und originale Consumerchecks; vollständige native Ausführung offen.""}, {""report"": ""implementation/wave47-root-review.md"", ""summary"": ""Originaler Resolver und reale Nova/Buster HTTP/Store/Git-Entscheidung unabhängig geprüft: unvollständige Pflichtabdeckung blockiert, optionale Skips erhalten.""}]"	not evaluated in AP01; source for AP04
PATH-T13-001	verifiziert		"[{""report"": ""implementation/gate-coverage.md"", ""summary"": ""44-Dateien-Änderung unabhängig geprüft: vorab deklarierte vollständige Abdeckung, echte Git/HTTP/Store/Node-Gegenproben und originale Consumerchecks; vollständige native Ausführung offen.""}, {""report"": ""implementation/pr6-local-acceptance.md"", ""summary"": ""Kumulative Coverage und Finalgraph sind implementiert; lokale Compiler-, Originalconsumer-, Git-/Node-Interaktions- und Summaryprüfungen decken die Bindungen ab.""}]"	not evaluated in AP01; source for AP04
PCR-APIFLOW-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/test-provider-semantics.md"", ""summary"": ""All five package suites/builds; independent repeat of real provider/HTTP/registry cases including40schemas and11Docker cases. Worker sandbox transport proof remains blocked.""}]"	not evaluated in AP01; source for AP04
PCR-CONTAINER-BUILD-001	verifiziert		"[{""report"": ""implementation/build-command.md"", ""summary"": ""Real HTTP deadline/digest/diagnostic and production output validator/resolver evidence passes independent review. Actual BuildKit/full native runner acceptance remains blocked; no timed_out classification claim.""}, {""report"": ""implementation/pr6-local-acceptance.md"", ""summary"": ""Originaler Outputvalidator akzeptiert fachlichen Fehlschlag ohne Image, prüft vorhandene Outputs weiter und verweigert fehlende Erfolgsoutputs; lokale Originaltests vorhanden.""}]"	not evaluated in AP01; source for AP04
PCR-CONTAINER-BUILD-002	verifiziert		"[{""report"": ""implementation/build-command.md"", ""summary"": ""Real HTTP deadline/digest/diagnostic and production output validator/resolver evidence passes independent review. Actual BuildKit/full native runner acceptance remains blocked; no timed_out classification claim.""}, {""report"": ""implementation/pr6-local-acceptance.md"", ""summary"": ""Ein absolutes Budget gilt bis Registryprüfung und Erfolg; echte HTTP-Deadline-, Digest-, Abbruch- und Diagnosetests bestehen.""}]"	not evaluated in AP01; source for AP04
PCR-DELIVERY-001	verifiziert	Lokale Originalregressionen und unabhängige Codegegenprüfung; keine Deployment-/Gesamt-E2E-Freigabe.	"[{""report"": ""implementation/test-provider-semantics.md"", ""summary"": ""All five package suites/builds; independent repeat of real provider/HTTP/registry cases including40schemas and11Docker cases. Worker sandbox transport proof remains blocked.""}]"	not evaluated in AP01; source for AP04
