id	file	line	scope	pattern	expression	current_authority_source	classification	canonical_owner	proposed_action	behavior_change	test_or_contract_coverage	review_status
FB-00015	skills/buster/pipeline/services/verdict-schema.ts	126	createSuiteVerdict	nullish	checks_failed:  opts.checks_failed  ?? 0,	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00016	skills/buster/pipeline/services/verdict-schema.ts	127	createSuiteVerdict	nullish	findings:       opts.findings       ?? [],	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00017	skills/buster/pipeline/services/verdict-schema.ts	128	createSuiteVerdict	nullish	metadata:       opts.metadata       ?? {},	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00018	skills/buster/pipeline/services/verdict-schema.ts	142	createFinding	nullish	rule:    opts.rule    ?? null,	caller options/dependencies	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00019	skills/buster/pipeline/services/verdict-schema.ts	143	createFinding	nullish	element: opts.element ?? null,	caller options/dependencies	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00020	skills/buster/pipeline/services/verdict-schema.ts	144	createFinding	nullish	file:    opts.file    ?? null,	caller options/dependencies	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00021	skills/buster/pipeline/services/verdict-schema.ts	145	createFinding	nullish	line:    opts.line    ?? null,	caller options/dependencies	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00022	skills/buster/pipeline/services/verdict-schema.ts	152	createRunnerVerdict	pipe_pipe	const suites = suiteResults || {};	createRunnerVerdict	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00023	skills/buster/pipeline/services/verdict-schema.ts	155	createRunnerVerdict	pipe_pipe	const durationMs = values.reduce((sum, verdict) => sum + (verdict.duration_ms || 0), 0);	artifact/verdict/completion metadata	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00024	skills/buster/pipeline/services/verdict-schema.ts	158	createRunnerVerdict	pipe_pipe	const hasTerminalFailure = hasAnyFail || hasError;	createRunnerVerdict	fail_typed_required_authority_if_missing	runtime authority boundary	Treat as required authority until proven optional; validate at boundary and fail typed if missing.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00025	skills/buster/pipeline/services/verdict-schema.ts	191	buildSummary	pipe_pipe	.filter(([, verdict]) => verdict.status === STATUS.FAIL || verdict.status === STATUS.ERROR)	lifecycle/read-model state	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00026	skills/buster/pipeline/services/verdict-schema.ts	193	buildSummary	pipe_pipe	const topFinding = verdict.findings?.[0]?.message || verdict.error || verdict.reason || 'unknown';	transport payload contract	replace_placeholder_with_typed_absence	typed absence owner	Replace placeholder display text with typed absence, omitted field, or typed failure when required.	absence_representation_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00027	skills/buster/pipeline/services/base-images.ts	73	hasExplicitRegistryComponent	pipe_pipe	const registry = imageRef.split('/')[0] || '';	hasExplicitRegistryComponent	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00028	skills/buster/pipeline/services/base-images.ts	74	hasExplicitRegistryComponent	pipe_pipe	return registry === 'localhost' || registry.includes('.') || registry.includes(':');	hasExplicitRegistryComponent	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00029	skills/buster/pipeline/services/base-images.ts	117	ensureBaseImages	nullish,pipe_pipe	const capabilities = options.capabilities ?? parseCapabilitiesEnv(process.env.BUSTER_PLATFORM_CAPABILITIES || '');	config/schema input	move_env_default_to_config_normalization	config/schema normalization	Move env/default selection into config normalization; runtime callsite should read normalized required config.	default_authority_may_move	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00030	skills/buster/pipeline/services/base-images.ts	119	ensureBaseImages	pipe_pipe	assertBusterCapabilities({ ...(options.alertContext || {}), capabilities }, {	caller options/dependencies	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00031	skills/buster/pipeline/services/base-images.ts	136	ensureBaseImages	pipe_pipe	const runExecFile = options.execFileAsync || execFileAsyncDefault;	caller options/dependencies	remove_runtime_dependency_injection_default	composition boundary	Move dependency wiring to tests or explicit composition boundary; runtime should not hide missing dependencies.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00032	skills/buster/pipeline/services/base-images.ts	144	ensureBaseImages	nullish	imageResults.push(imageResult(String(img ?? ''), 'skipped', validation.reason));	typed error/detail state	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00033	skills/buster/pipeline/services/capabilities.ts	34	BusterCapabilityDeniedError	pipe_pipe	this.suite = details.suite || undefined;	BusterCapabilityDeniedError	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00034	skills/buster/pipeline/services/capabilities.ts	35	BusterCapabilityDeniedError	pipe_pipe	this.action = details.action || undefined;	BusterCapabilityDeniedError	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00035	skills/buster/pipeline/services/capabilities.ts	36	BusterCapabilityDeniedError	pipe_pipe	this.missing_capabilities = details.missing_capabilities || [];	BusterCapabilityDeniedError	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00036	skills/buster/pipeline/services/capabilities.ts	41	splitCapabilityString	pipe_pipe	return String(value || '')	splitCapabilityString	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00037	skills/buster/pipeline/services/capabilities.ts	49	normalizeBusterCapabilities	pipe_pipe	return [...new Set(raw.map((entry) => String(entry || '').trim()).filter(Boolean))];	normalizeBusterCapabilities	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00038	skills/buster/pipeline/services/capabilities.ts	63	resolveContextCapabilities	nullish	?? context.payload?.capabilities	transport payload contract	fail_typed_required_authority_if_missing	runtime authority boundary	Treat as required authority until proven optional; validate at boundary and fail typed if missing.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00039	skills/buster/pipeline/services/capabilities.ts	64	resolveContextCapabilities	nullish	?? [],	resolveContextCapabilities	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00040	skills/buster/pipeline/services/capabilities.ts	78	requiredCapabilitiesForSuite	pipe_pipe	const serve = context.config?.serve || context.payload?.test_config?.serve || {};	transport payload contract	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00041	skills/buster/pipeline/services/capabilities.ts	81	requiredCapabilitiesForSuite	pipe_pipe	return [(serve.type || 'static') === 'server'	requiredCapabilitiesForSuite	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00042	skills/buster/pipeline/services/capabilities.ts	104	containsParentTraversal	pipe_pipe	return String(value || '').split(/[\\/]+/).includes('..');	containsParentTraversal	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00043	skills/buster/pipeline/services/capabilities.ts	111	resolveAlertTarget	pipe_pipe	if (containsParentTraversal(validationRaw) || containsParentTraversal(raw)) throw new Error(`${field} must not contain parent traversal`);	resolveAlertTarget	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00044	skills/buster/pipeline/services/capabilities.ts	121	normalizeAlertContext	pipe_pipe	const payload = context.payload || {};	transport payload contract	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00045	skills/buster/pipeline/services/capabilities.ts	123	normalizeAlertContext	pipe_pipe	project: context.project || context.config?.project || payload.project || null,	transport payload contract	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00046	skills/buster/pipeline/services/capabilities.ts	124	normalizeAlertContext	pipe_pipe	run_id: context.runId || null,	runtime context/correlation	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00047	skills/buster/pipeline/services/capabilities.ts	125	normalizeAlertContext	pipe_pipe	module_id: context.moduleId || null,	runtime context/correlation	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00048	skills/buster/pipeline/services/capabilities.ts	126	normalizeAlertContext	pipe_pipe	gate_id: context.gateId || null,	runtime context/correlation	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00049	skills/buster/pipeline/services/capabilities.ts	127	normalizeAlertContext	pipe_pipe	task_type: payload.task_type || null,	transport payload contract	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00050	skills/buster/pipeline/services/capabilities.ts	128	normalizeAlertContext	nullish	attempt: context.attempt ?? payload.attempt ?? null,	transport payload contract	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00051	skills/buster/pipeline/services/capabilities.ts	129	normalizeAlertContext	pipe_pipe	dispatch_id: context.dispatchId || null,	runtime context/correlation	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00052	skills/buster/pipeline/services/capabilities.ts	130	normalizeAlertContext	pipe_pipe	session_key: context.sessionKey || null,	runtime context/correlation	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00053	skills/buster/pipeline/services/capabilities.ts	151	alertTargets	pipe_pipe	process.stderr.write(`[BUSTER-CAPABILITY] ignored unsafe durable operator alert target: ${error?.message || error}\n`);	transport payload contract	fail_typed_required_authority_if_missing	runtime authority boundary	Treat as required authority until proven optional; validate at boundary and fail typed if missing.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00054	skills/buster/pipeline/services/capabilities.ts	167	appendDurableOperatorAlert	pipe_pipe	severity: alert.severity || 'CRITICAL',	appendDurableOperatorAlert	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00055	skills/buster/pipeline/services/capabilities.ts	168	appendDurableOperatorAlert	pipe_pipe	reason: alert.reason || 'buster_capability_denied',	typed error/detail state	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00056	skills/buster/pipeline/services/capabilities.ts	179	appendDurableOperatorAlert	pipe_pipe	process.stderr.write(`[BUSTER-CAPABILITY] durable operator alert write failed: ${error?.message || error}\n`);	transport payload contract	fail_typed_required_authority_if_missing	runtime authority boundary	Treat as required authority until proven optional; validate at boundary and fail typed if missing.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00057	skills/buster/pipeline/services/capabilities.ts	193	buildCapabilityDeniedAlert	pipe_pipe	blocked_action: action || 'tool_execution',	buildCapabilityDeniedAlert	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00058	skills/buster/pipeline/services/capabilities.ts	194	buildCapabilityDeniedAlert	pipe_pipe	why: `missing capability: ${missing.join(', ') || required.join(', ')}`,	buildCapabilityDeniedAlert	fail_typed_required_authority_if_missing	runtime authority boundary	Treat as required authority until proven optional; validate at boundary and fail typed if missing.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00059	skills/buster/pipeline/services/capabilities.ts	210	assertBusterCapabilities	pipe_pipe	`Buster capability denied for ${suite || 'task'}: ${action} requires ${missing.join(', ')}`,	assertBusterCapabilities	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00060	skills/buster/pipeline/services/orphan-recovery.ts	14	inspectPersistedBusterActiveSession	pipe_pipe	if (!activeStatePath || !fs.existsSync(activeStatePath)) return { exists: false, ok: true };	inspectPersistedBusterActiveSession	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00061	skills/buster/pipeline/services/orphan-recovery.ts	27	recoverOrphanedActiveSession	pipe_pipe	const activeStatePath = options.activeStatePath || resolveBusterActiveSessionPath(options.cwd || getRepoRoot());	caller options/dependencies	fail_typed_required_authority_if_missing	runtime authority boundary	Treat as required authority until proven optional; validate at boundary and fail typed if missing.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00062	skills/buster/pipeline/services/orphan-recovery.ts	34	recoverOrphanedActiveSession	pipe_pipe	reason: inspected.ok ? 'active_session_file_diagnostic_only' : inspected.reason || 'invalid_active_session_file',	typed error/detail state	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00063	skills/buster/pipeline/services/orphan-recovery.ts	35	recoverOrphanedActiveSession	pipe_pipe	detail: inspected.error || inspected.data || `Persisted active-session evidence at ${activeStatePath} is not lifecycle authority`,	agent/session state	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00064	skills/buster/pipeline/services/git-workflows.ts	58	titleCaseAgent	pipe_pipe	const normalized = String(value || '').trim().replace(/[-_]+/g, ' ');	titleCaseAgent	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00065	skills/buster/pipeline/services/git-workflows.ts	68	firstLine	pipe_pipe	if (error instanceof Error) return (error.message || String(error)).split('\n')[0] || 'unknown';	transport payload contract	replace_placeholder_with_typed_absence	typed absence owner	Replace placeholder display text with typed absence, omitted field, or typed failure when required.	absence_representation_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00066	skills/buster/pipeline/services/git-workflows.ts	69	firstLine	pipe_pipe	return String(error || 'unknown').split('\n')[0] || 'unknown';	typed error/detail state	replace_placeholder_with_typed_absence	typed absence owner	Replace placeholder display text with typed absence, omitted field, or typed failure when required.	absence_representation_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00067	skills/buster/pipeline/services/git-workflows.ts	81	gitHashMatchesTarget	pipe_pipe	return normalizedActual === normalizedTarget || (/^[0-9a-f]+$/i.test(targetHash) && normalizedActual.startsWith(normalizedTarget));	gitHashMatchesTarget	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00068	skills/buster/pipeline/services/git-workflows.ts	91	gitConfigValue	pipe_pipe	return value || null;	gitConfigValue	model_optional_absence_explicitly	schema optionality owner	Keep only if absence is part of the schema; otherwise validate required authority before this point.	absence_representation_may_change	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00069	skills/buster/pipeline/services/git-workflows.ts	138	gitSync	pipe_pipe	const logger = opts.logger || null;	caller options/dependencies	remove_runtime_dependency_injection_default	composition boundary	Move dependency wiring to tests or explicit composition boundary; runtime should not hide missing dependencies.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00070	skills/buster/pipeline/services/git-workflows.ts	187	normalizePositiveInteger	pipe_pipe	if (value === undefined || value === null) return fallback;	normalizePositiveInteger	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00071	skills/buster/pipeline/services/git-workflows.ts	189	normalizePositiveInteger	pipe_pipe	if (!Number.isInteger(numeric) || numeric < 1) {	normalizePositiveInteger	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00072	skills/buster/pipeline/services/git-workflows.ts	196	normalizeScopedAddPaths	pipe_pipe	if (!Array.isArray(addPaths) || addPaths.length === 0) {	normalizeScopedAddPaths	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00073	skills/buster/pipeline/services/git-workflows.ts	199	normalizeScopedAddPaths	pipe_pipe	const normalized = addPaths.map((entry) => String(entry || '').trim()).filter(Boolean);	normalizeScopedAddPaths	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00074	skills/buster/pipeline/services/git-workflows.ts	204	normalizeScopedAddPaths	pipe_pipe	if (pathspec === '.' || pathspec === './' || pathspec === ':/' || pathspec === '-A' || pathspec.startsWith('-')) {	normalizeScopedAddPaths	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00075	skills/buster/pipeline/services/git-workflows.ts	212	normalizeRepoRelativePath	pipe_pipe	return String(value || '')	normalizeRepoRelativePath	move_local_default_to_config_normalization_or_fail	config/schema normalization or authority boundary	Remove local default; either config-normalize the product default or fail typed for missing authority.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00076	skills/buster/pipeline/services/git-workflows.ts	222	pathMatchesScopedPathspec	pipe_pipe	return pathspecs.some((pathspec) => normalizedFilePath === pathspec || normalizedFilePath.startsWith(`${pathspec}/`));	pathMatchesScopedPathspec	keep_pure_boolean_predicate	predicate owner	Keep if review confirms this is only a predicate and does not select replacement authority.	none_expected	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00077	skills/buster/pipeline/services/git-workflows.ts	229	isRebaseInProgress	pipe_pipe	return fs.existsSync(rebaseMergePath) || fs.existsSync(rebaseApplyPath);	isRebaseInProgress	fail_typed_required_authority_if_missing	runtime authority boundary	Treat as required authority until proven optional; validate at boundary and fail typed if missing.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
FB-00078	skills/buster/pipeline/services/git-workflows.ts	309	normalizePushBranch	pipe_pipe	!normalized ||	normalizePushBranch	fail_typed_required_authority_if_missing	runtime authority boundary	Treat as required authority until proven optional; validate at boundary and fail typed if missing.	possible_louder_failure	focused_tests_plus_fallback_freeze_contract	classified_pending_human_review
